star_1,number_of_stars
Tom Hanks,23
Adam Sandler,23
Tom Cruise,22
Mark Wahlberg,21
Sylvester Stallone,21
Nicolas Cage,20
Keanu Reeves,19
Dwayne Johnson,18
Arnold Schwarzenegger,17
Johnny Depp,17
Denzel Washington,16
Bruce Willis,16
Will Smith,16
Leonardo DiCaprio,15
Jim Carrey,15
Ben Affleck,14
Ryan Reynolds,13
Robert De Niro,13
Brad Pitt,13
Jake Gyllenhaal,12
Liam Neeson,12
Ben Stiller,12
Jason Statham,12
Russell Crowe,12
Matt Damon,12
Vin Diesel,11
Jennifer Lawrence,11
Chris Hemsworth,11
Sandra Bullock,11
Christian Bale,11
Mel Gibson,10
George Clooney,10
Chris Pratt,10
Owen Wilson,9
Eddie Murphy,9
Harrison Ford,9
Gerard Butler,9
Brendan Fraser,9
Robert Downey Jr.,9
Kevin Costner,9
Clint Eastwood,9
Tom Hardy,8
Mike Myers,8
Channing Tatum,8
Sam Worthington,7
Kristen Stewart,7
Steve Carell,7
Bradley Cooper,7
Jack Black,7
Angelina Jolie,7
Anna Kendrick,7
Hugh Jackman,7
Antonio Banderas,7
Sean Connery,6
Al Pacino,6
Robin Williams,6
Jackie Chan,6
Kate Beckinsale,6
Kurt Russell,6
Jesse Eisenberg,6
Michael Douglas,6
John Travolta,5
Sigourney Weaver,5
Amy Adams,5
Henry Cavill,5
Michael J. Fox,5
Elijah Wood,5
Anne Hathaway,5
Andrew Garfield,5
Chris Evans,5
Patrick Wilson,5
Tom Holland,5
Donald Pleasence,5
Naomi Watts,5
Marlon Wayans,5
Joaquin Phoenix,5
Matthew McConaughey,5
Dakota Johnson,5
Jessica Chastain,5
Ethan Hawke,5
Lily James,5
Anna Faris,5
Dylan O'Brien,5
Lindsay Lohan,5
Jamie Foxx,5
Bill Murray,5
Ewan McGregor,5
Dennis Quaid,5
Colin Farrell,5
Cameron Diaz,5
Jack Nicholson,5
Zac Efron,5
Jamie Lee Curtis,5
Michael Keaton,4
Mia Wasikowska,4
James Franco,4
Sharlto Copley,4
Patrick Stewart,4
Michael B. Jordan,4
Scarlett Johansson,4
Neve Campbell,4
Robert Redford,4
Alexander Skarsgård,4
Jay Baruchel,4
Reese Witherspoon,4
Eddie Redmayne,4
Benedict Cumberbatch,4
Emily Blunt,4
Will Ferrell,4
Ralph Fiennes,4
Megan Fox,4
Wesley Snipes,4
Edward Norton,4
James McAvoy,4
Ray Romano,4
Natalie Portman,4
Chloë Grace Moretz,4
Jeremy Renner,4
