,imdb_id,title,Genre,popularity,vote_average,vote_count,budget,revenue,financial_success,Rated,Actors,imdbRating,imdbVotes,imdb_rating,rotten_tomatoes_rating,metacritic_rating,outcome
0,tt6263850,Deadpool & Wolverine,"Action, Comedy",4210.061,7.744,2735,200000000,1287237740,1,R,"Ryan Reynolds, Morena Baccarin, T.J. Miller",8.0,"1,159,415",8.0,85.0,65.0,1
7,tt0094721,Beetlejuice,"Comedy, Fantasy",1646.216,7.382,6860,15000000,74849333,1,PG,"Alec Baldwin, Geena Davis, Michael Keaton",7.5,"348,874",7.5,86.0,70.0,1
21,tt27682129,Prey,"Action, Adventure, Horror",808.07,6.4,213,0,0,0,R,"Amber Midthunder, Dakota Beavers, Dane DiLiegro",7.1,"233,550",7.1,94.0,71.0,0
34,tt23778968,Thelma,"Drama, Fantasy, Horror",408.124,7.062,97,5000000,9818454,1,Not Rated,"Eili Harboe, Kaya Wilkins, Henrik Rafaelsen",7.0,"37,145",7.0,92.0,74.0,0
36,tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",397.449,8.2,29403,300000000,2052415039,1,PG-13,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",8.4,"1,226,533",8.4,85.0,68.0,1
37,tt0295701,xXx,"Action, Adventure, Thriller",392.198,5.937,4175,70000000,277448382,1,PG-13,"Vin Diesel, Asia Argento, Marton Csokas",5.8,"187,525",5.8,48.0,48.0,0
41,tt0327597,Coraline,"Animation, Drama, Family",337.983,7.885,7830,60000000,172750668,1,PG,"Dakota Fanning, Teri Hatcher, John Hodgman",7.8,"269,771",7.8,91.0,80.0,1
44,tt0078748,Alien,"Horror, Sci-Fi",327.944,8.154,14465,11000000,104931801,1,R,"Sigourney Weaver, Tom Skerritt, John Hurt",8.5,"964,356",8.5,93.0,89.0,1
49,tt2096673,Inside Out,"Animation, Adventure, Comedy",293.917,7.914,21591,175000000,857611174,1,PG,"Amy Poehler, Bill Hader, Lewis Black",8.1,"818,922",8.1,98.0,94.0,1
54,tt12412888,Sonic the Hedgehog 2,"Action, Adventure, Comedy",267.884,7.512,4866,110000000,405421518,1,PG,"James Marsden, Jim Carrey, Ben Schwartz",6.5,"90,487",6.5,68.0,47.0,0
58,tt5090568,Transformers: Rise of the Beasts,"Action, Adventure, Sci-Fi",251.148,7.317,4449,195000000,439000000,1,PG-13,"Anthony Ramos, Dominique Fishback, Luna Lauren Velez",6.0,"109,383",6.0,52.0,42.0,0
59,tt22334258,Someone Like You,"Comedy, Romance",246.634,5.1,13,0,5937306,1,PG-13,"Ashley Judd, Greg Kinnear, Hugh Jackman",6.1,"27,645",6.1,42.0,32.0,0
60,tt6718170,The Super Mario Bros. Movie,"Animation, Adventure, Comedy",246.276,7.656,8874,100000000,1362000000,1,PG,"Chris Pratt, Anya Taylor-Joy, Charlie Day",7.0,"246,752",7.0,59.0,46.0,0
62,tt14966898,Late Night with the Devil,Horror,243.517,7.345,791,2000000,11902746,1,R,"David Dastmalchian, Laura Gordon, Ian Bliss",7.0,"74,614",7.0,97.0,71.0,0
63,tt9362722,Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",243.478,8.357,6737,100000000,690897910,1,PG,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry",8.6,"394,549",8.6,95.0,86.0,1
65,tt5433140,Fast X,"Action, Adventure, Crime",240.52,7.1,5433,340000000,704709660,1,PG-13,"Vin Diesel, Michelle Rodriguez, Jason Statham",5.7,"124,108",5.7,56.0,56.0,0
66,tt10872600,Spider-Man: No Way Home,"Action, Adventure, Fantasy",239.242,7.961,19843,200000000,1921847111,1,PG-13,"Tom Holland, Zendaya, Benedict Cumberbatch",8.2,"901,293",8.2,93.0,71.0,1
67,tt14539318,The Beast Within,Horror,239.083,5.735,49,0,51860,1,R,"Ronny Cox, Bibi Besch, Paul Clemens",5.6,"4,681",5.6,17.0,42.0,0
68,tt1431045,Deadpool,"Action, Comedy",236.833,7.621,30684,58000000,782837347,1,R,"Ryan Reynolds, Morena Baccarin, T.J. Miller",8.0,"1,159,415",8.0,85.0,65.0,1
71,tt2316204,Alien: Covenant,"Horror, Sci-Fi, Thriller",232.377,6.136,8454,97000000,240891763,1,R,"Michael Fassbender, Katherine Waterston, Billy Crudup",6.4,"311,682",6.4,65.0,65.0,0
78,tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",220.43,8.4,35122,165000000,701729206,1,PG-13,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",8.7,"2,153,343",8.7,73.0,74.0,1
79,tt0121164,Corpse Bride,"Animation, Comedy, Drama",215.595,7.562,8942,40000000,118133252,1,PG,"Johnny Depp, Helena Bonham Carter, Emily Watson",7.4,"302,428",7.4,84.0,83.0,1
80,tt0090605,Aliens,"Action, Adventure, Sci-Fi",215.263,7.9,9531,18500000,183316455,1,R,"Sigourney Weaver, Michael Biehn, Carrie Henn",8.4,"772,422",8.4,94.0,84.0,1
81,tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",212.98,8.414,24824,93000000,871368364,1,PG-13,"Elijah Wood, Ian McKellen, Orlando Bloom",8.9,"2,035,018",8.9,92.0,92.0,1
82,tt0167260,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",212.326,8.48,23893,94000000,1118888979,1,PG-13,"Elijah Wood, Viggo Mortensen, Ian McKellen",9.0,"2,004,761",9.0,94.0,94.0,1
83,tt5463162,Deadpool 2,"Action, Adventure, Comedy",207.583,7.492,17670,110000000,785896632,1,R,"Ryan Reynolds, Josh Brolin, Morena Baccarin",7.6,"670,737",7.6,84.0,66.0,1
84,tt0111161,The Shawshank Redemption,Drama,203.479,8.706,26772,25000000,28341469,1,R,"Tim Robbins, Morgan Freeman, Bob Gunton",9.3,"2,932,194",9.3,89.0,82.0,1
85,tt10366206,John Wick: Chapter 4,"Action, Crime, Thriller",201.987,7.742,6295,90000000,440157245,1,R,"Keanu Reeves, Laurence Fishburne, George Georgiou",7.7,"349,117",7.7,94.0,78.0,1
88,tt0848228,The Avengers,"Action, Sci-Fi",196.51,7.718,30462,220000000,1518815515,1,PG-13,"Robert Downey Jr., Chris Evans, Scarlett Johansson",8.0,"1,473,547",8.0,91.0,69.0,1
97,tt4154796,Avengers: Endgame,"Action, Adventure, Drama",184.998,8.252,25337,356000000,2799439100,1,PG-13,"Robert Downey Jr., Chris Evans, Mark Ruffalo",8.4,"1,289,838",8.4,94.0,78.0,1
99,tt6105098,The Lion King,"Animation, Adventure, Drama",182.744,7.113,9861,260000000,1663000000,1,G,"Matthew Broderick, Jeremy Irons, James Earl Jones",8.5,"1,158,848",8.5,92.0,88.0,1
100,tt1630029,Avatar: The Way of Water,"Action, Adventure, Fantasy",181.623,7.62,11693,460000000,2320250281,1,PG-13,"Sam Worthington, Zoe Saldana, Sigourney Weaver",7.5,"505,546",7.5,76.0,67.0,1
102,tt1340094,The Crow,"Action, Crime, Drama",178.788,5.333,120,50000000,13690814,0,R,"Brandon Lee, Michael Wincott, Rochelle Davis",7.5,"208,455",7.5,86.0,71.0,0
