imdb_id,title,release_year,runtime,genre,overview,director,actors,rated,imdb_votes,popularity,budget,revenue,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2
tt8936646,Extraction,2020,116 min,"Action, Crime, Thriller",A hardened gun-for-hire's latest mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,Sam Hargrave,"Chris Hemsworth, Bryon Lerum, Ryder Lerum",R,"267,724",46.939,65000000,0,Chris Hemsworth, Bryon Lerum, Ryder Lerum,Action, Crime, Thriller,Sam Hargrave,
tt2737304,Bird Box,2018,124 min,"Horror, Mystery, Sci-Fi","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich",R,"392,201",46.901,19800000,0,Sandra Bullock, Trevante Rhodes, John Malkovich,Horror, Mystery, Sci-Fi,Susanne Bier,
tt0328107,Man on Fire,2004,146 min,"Action, Crime, Drama","Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.",Tony Scott,"Denzel Washington, Christopher Walken, Dakota Fanning",R,"394,563",46.901,70000000,130300000,Denzel Washington, Christopher Walken, Dakota Fanning,Action, Crime, Drama,Tony Scott,
tt3410834,Allegiant,2016,120 min,"Action, Adventure, Mystery",Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,Robert Schwentke,"Shailene Woodley, Theo James, Jeff Daniels",PG-13,"136,157",46.869,110000000,179246868,Shailene Woodley, Theo James, Jeff Daniels,Action, Adventure, Mystery,Robert Schwentke,
tt0092644,Beverly Hills Cop II,1987,103 min,"Action, Comedy, Crime","Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",Tony Scott,"Eddie Murphy, Judge Reinhold, Jürgen Prochnow",R,"139,487",46.823,28000000,299965036,Eddie Murphy, Judge Reinhold, Jürgen Prochnow,Action, Comedy, Crime,Tony Scott,
tt2557478,Pacific Rim: Uprising,2018,111 min,"Action, Adventure, Sci-Fi","It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",Steven S. DeKnight,"John Boyega, Scott Eastwood, Cailee Spaeny",PG-13,"129,023",46.735,150000000,290061297,John Boyega, Scott Eastwood, Cailee Spaeny,Action, Adventure, Sci-Fi,Steven S. DeKnight,
tt0333780,"Legally Blonde 2: Red, White & Blonde",2003,95 min,Comedy,"Now a rising young lawyer, Elle Woods is about to make partner at her firm, but when she finds out her dog's relatives are being used as cosmetic test subjects, she heads to Washington D.C. to fight for animal rights.",Charles Herman-Wurmfeld,"Reese Witherspoon, Sally Field, Bob Newhart",PG-13,"73,713",46.706,45000000,124914842,Reese Witherspoon, Sally Field, Bob Newhart,Comedy,,,Charles Herman-Wurmfeld,
tt9784456,The Kissing Booth 2,2020,134 min,"Comedy, Romance","With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate.",Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi",TV-14,"38,921",46.7,0,0,Joey King, Joel Courtney, Jacob Elordi,Comedy, Romance,,Vince Marcello,
tt0082198,Conan the Barbarian,1982,129 min,"Action, Adventure, Fantasy","A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",John Milius,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow",R,"164,345",46.666,20000000,74000000,Arnold Schwarzenegger, James Earl Jones, Max von Sydow,Action, Adventure, Fantasy,John Milius,
tt0052618,Ben-Hur,1959,212 min,"Adventure, Drama","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.",William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd",G,"255,980",46.666,15000000,164000000,Charlton Heston, Jack Hawkins, Stephen Boyd,Adventure, Drama,,William Wyler,
