imdb_id,title,runtime,overview,rated,imdb_votes,popularity,imdb_rating,rotten_tomatoes_rating,metacritic_rating,budget,revenue,financial_success,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2,release_year,outcome
tt10366206,John Wick: Chapter 4,169 min,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",R,"349,117",160.811,7.7,94.0,78.0,90000000,440157245,True,Keanu Reeves, Laurence Fishburne, George Georgiou,Action, Crime, Thriller,Chad Stahelski,,2023,True
tt0111161,The Shawshank Redemption,142 min,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",R,"2,932,194",160.678,9.3,89.0,82.0,25000000,28341469,True,Tim Robbins, Morgan Freeman, Bob Gunton,Drama,,,Frank Darabont,,1994,True
tt6105098,The Lion King,88 min,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",G,"1,158,848",165.443,8.5,92.0,88.0,260000000,1663000000,True,Matthew Broderick, Jeremy Irons, James Earl Jones,Animation, Adventure, Drama,Roger Allers, Rob Minkoff,2019,True
tt14539318,The Beast Within,98 min,"Ten-year-old Willow follows her parents on one of their secret late-night treks to the heart of an ancient forest. After witnessing her father undergo a terrible transformation, she too becomes ensnared by the dark ancestral secret that they've so desperately tried to conceal.",R,"4,681",150.399,5.6,17.0,42.0,0,51860,True,Ronny Cox, Bibi Besch, Paul Clemens,Horror,,,Philippe Mora,,2024,False
tt0068646,The Godfather,175 min,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",R,"2,039,832",149.102,9.2,97.0,100.0,6000000,245066411,True,Marlon Brando, Al Pacino, James Caan,Crime, Drama,,Francis Ford Coppola,,1972,True
tt0121164,Corpse Bride,77 min,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",PG,"302,428",147.902,7.4,84.0,83.0,40000000,118133252,True,Johnny Depp, Helena Bonham Carter, Emily Watson,Animation, Comedy, Drama,Tim Burton, Mike Johnson,2005,True
tt14966898,Late Night with the Devil,93 min,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",R,"74,614",147.296,7.0,97.0,71.0,2000000,11902746,True,David Dastmalchian, Laura Gordon, Ian Bliss,Horror,,,Cameron Cairnes, Colin Cairnes,2024,True
tt1340094,The Crow,102 min,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",R,"208,455",146.295,7.5,86.0,71.0,50000000,13690814,False,Brandon Lee, Michael Wincott, Rochelle Davis,Action, Crime, Drama,Alex Proyas,,2024,False
tt0848228,The Avengers,143 min,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",PG-13,"1,473,547",145.375,8.0,91.0,69.0,220000000,1518815515,True,Robert Downey Jr., Chris Evans, Scarlett Johansson,Action, Sci-Fi,,Joss Whedon,,2012,True
tt22334258,Someone Like You,97 min,"Shocking news hits after young architect Dawson loses his best friend London. In his heartbreak, Dawson is compelled to launch an impossible search for London’s secret sister, twins separated as embryos. But along the way, Dawson never planned to fall in love.",PG-13,"27,645",119.806,6.1,42.0,32.0,0,5937306,True,Ashley Judd, Greg Kinnear, Hugh Jackman,Comedy, Romance,,Tony Goldwyn,,2024,False
