imdb_id,title,runtime,overview,rated,imdb_votes,popularity,imdb_rating,rotten_tomatoes_rating,metacritic_rating,budget,revenue,financial_success,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2,release_year,outcome
tt2011159,No Good Deed,84 min,"Terri is a devoted wife and mother of two, living an ideal suburban life in Atlanta when Colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. Terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family.",PG-13,"22,194",37.883,5.6,12.0,26.0,13200000,53830415,True,Taraji P. Henson, Idris Elba, Leslie Bibb,Crime, Drama, Horror,Sam Miller,,2014,False
tt3110958,Now You See Me 2,129 min,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",PG-13,"325,510",33.684,6.4,33.0,46.0,120000000,334900000,True,Jesse Eisenberg, Mark Ruffalo, Woody Harrelson,Action, Adventure, Comedy,Jon M. Chu,,2016,False
tt0493464,Wanted,110 min,"Doormat Wesley Gibson is an office worker whose life is going nowhere. He meets a sexy woman named Fox and discovers that his recently murdered father - whom Wesley never knew - belonged to the Fraternity, a secret society of assassins which takes its orders from Fate itself. Fox and Sloan, the Fraternity's leader, teach Wesley, through intense training, to tap into dormant powers and hone his innate killing skills. Though he enjoys his newfound abilities, he begins to suspect that there is more to the Fraternity than meets the eye.",R,"411,856",37.809,6.7,71.0,64.0,75000000,342463063,True,Angelina Jolie, James McAvoy, Morgan Freeman,Action, Crime, Thriller,Timur Bekmambetov,,2008,True
tt2024544,12 Years a Slave,134 min,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",R,"747,876",37.78,8.1,95.0,96.0,20000000,187000000,True,Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender,Biography, Drama, History,Steve McQueen,,2013,True
tt1615918,Alvin and the Chipmunks: Chipwrecked,87 min,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",G,"40,342",37.673,4.4,10.0,24.0,75000000,342695435,True,Justin Long, Matthew Gray Gubler, Jesse McCartney,Adventure, Comedy, Family,Mike Mitchell,,2011,False
tt0332379,School of Rock,109 min,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",PG-13,"335,542",37.65,7.2,92.0,82.0,35000000,131100000,True,Jack Black, Mike White, Joan Cusack,Comedy, Music,,Richard Linklater,,2003,True
tt2091256,Captain Underpants: The First Epic Movie,89 min,"Based on the bestselling book series, this outrageous comedy tells the story of George and Harold,  two overly imaginative pranksters who hypnotize their principal into thinking he’s an enthusiastic, yet dimwitted, superhero named Captain Underpants.",PG,"32,964",37.61,6.2,87.0,69.0,38000000,125427681,True,Kevin Hart, Thomas Middleditch, Ed Helms,Animation, Action, Adventure,David Soren,,2017,True
tt0086960,Beverly Hills Cop,105 min,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can.",R,"217,239",37.591,7.4,82.0,66.0,14000000,316360478,True,Eddie Murphy, Judge Reinhold, John Ashton,Action, Comedy, Crime,Martin Brest,,1984,True
tt0096438,Who Framed Roger Rabbit,104 min,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.",PG,"219,493",37.566,7.7,96.0,83.0,70000000,329800000,True,Bob Hoskins, Christopher Lloyd, Joanna Cassidy,Animation, Adventure, Comedy,Robert Zemeckis,,1988,True
tt0230600,The Others,104 min,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",PG-13,"397,361",37.551,7.6,84.0,74.0,17000000,210000000,True,Nicole Kidman, Christopher Eccleston, Fionnula Flanagan,Horror, Mystery, Thriller,Alejandro Amenábar,,2001,True
